Attended Event,Status,Type,Location,Created At
No,Registered,In-Person,Brazil,"
				14
				September
				2026
				19:47
			"
No,Registered,In-Person,Brazil,"
				14
				September
				2026
				19:02
			"
No,Registered,In-Person,Brazil,"
				14
				September
				2026
				16:37
			"
No,Registered,In-Person,Brazil,"
				14
				September
				2026
				16:23
			"
No,Registered,In-Person,Brazil,"
				14
				September
				2026
				16:20
			"
No,Registered,In-Person,Brazil,"
				13
				September
				2026
				20:09
			"
No,Registered,Virtual,Brazil,"
				13
				September
				2026
				10:19
			"
No,Registered,In-Person,Brazil,"
				12
				September
				2026
				16:56
			"
No,Registered,In-Person,Brazil,"
				11
				September
				2026
				22:49
			"
No,Registered,In-Person,Brazil,"
				11
				September
				2026
				11:52
			"
No,Registered,In-Person,Brazil,"
				10
				September
				2026
				22:35
			"
No,Registered,In-Person,Brazil,"
				10
				September
				2026
				11:22
			"
No,Registered,Virtual,Brazil,"
				08
				September
				2026
				22:50
			"
No,Registered,In-Person,Brazil,"
				08
				September
				2026
				14:16
			"
No,Registered,In-Person,Brazil,"
				07
				September
				2026
				18:25
			"
No,Registered,In-Person,Brazil,"
				07
				September
				2026
				17:40
			"
No,Registered,In-Person,Brazil,"
				07
				September
				2026
				16:49
			"
No,Registered,In-Person,Brazil,"
				07
				September
				2026
				14:19
			"
No,Registered,In-Person,Brazil,"
				06
				September
				2026
				22:11
			"
No,Registered,In-Person,Brazil,"
				04
				September
				2026
				15:46
			"
No,Registered,In-Person,Brazil,"
				04
				September
				2026
				13:14
			"
No,Registered,In-Person,Brazil,"
				04
				September
				2026
				13:06
			"
No,Registered,In-Person,Brazil,"
				04
				September
				2026
				10:39
			"
No,Registered,In-Person,Brazil,"
				03
				September
				2026
				13:25
			"
No,Registered,In-Person,Brazil,"
				03
				September
				2026
				11:27
			"
No,Registered,In-Person,Brazil,"
				02
				September
				2026
				21:26
			"
No,Registered,In-Person,Brazil,"
				02
				September
				2026
				21:05
			"
No,Registered,Virtual,Brazil,"
				02
				September
				2026
				19:49
			"
No,Registered,Virtual,Brazil,"
				02
				September
				2026
				17:17
			"
No,Registered,In-Person,Brazil,"
				02
				September
				2026
				16:58
			"
No,Registered,In-Person,Brazil,"
				02
				September
				2026
				16:46
			"
No,Registered,Virtual,Brazil,"
				02
				September
				2026
				10:46
			"
No,Registered,In-Person,Brazil,"
				01
				September
				2026
				21:38
			"
No,Registered,In-Person,Brazil,"
				01
				September
				2026
				20:06
			"
No,Registered,Virtual,Brazil,"
				01
				September
				2026
				18:09
			"
No,Registered,Virtual,Brazil,"
				01
				September
				2026
				10:15
			"
No,Registered,Virtual,Brazil,"
				01
				September
				2026
				10:14
			"
No,Registered,In-Person,Brazil,"
				31
				August
				2026
				22:50
			"
No,Registered,In-Person,Brazil,"
				31
				August
				2026
				19:00
			"
No,Registered,In-Person,Brazil,"
				31
				August
				2026
				17:26
			"
No,Registered,In-Person,Brazil,"
				30
				August
				2026
				21:50
			"
No,Registered,In-Person,Brazil,"
				30
				August
				2026
				11:23
			"
No,Registered,Virtual,Brazil,"
				29
				August
				2026
				16:42
			"
No,Registered,In-Person,Brazil,"
				28
				August
				2026
				19:40
			"
No,Registered,In-Person,Brazil,"
				28
				August
				2026
				14:02
			"
No,Registered,In-Person,Brazil,"
				27
				August
				2026
				21:21
			"
No,Registered,In-Person,Brazil,"
				27
				August
				2026
				16:47
			"
No,Registered,In-Person,Brazil,"
				27
				August
				2026
				13:16
			"
No,Registered,In-Person,Brazil,"
				27
				August
				2026
				08:43
			"
No,Registered,In-Person,Brazil,"
				27
				August
				2026
				00:16
			"
No,Registered,Virtual,Brazil,"
				26
				August
				2026
				19:03
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				18:52
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				17:52
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				16:46
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				16:36
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				16:06
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				15:59
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				15:27
			"
No,Registered,Virtual,Brazil,"
				26
				August
				2026
				15:24
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				15:20
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				14:58
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				14:36
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				14:23
			"
No,Registered,In-Person,Brazil,"
				26
				August
				2026
				13:08
			"
